#B	Created:	13.01.2020 12:21:11
##	Version	SeaStar	8.17
#5	Field separation:	0
#2	Date & Time:	1
#6	Decimal point:	.
#7	Date def.:	dd.mm.yyyy	.
#8	Time def.:	:
##	Axis	0	Temperature(°C)	clRed	FALSE
##	Series	0	Temp(°C)	clRed	0	Temp(°C)	2
##	Recorder	4	Starmon mini	4200
##	Chart	4T4200DAT	
#D	Data:	125077	22.06.2018 12:00:00	25.11.2019 15:36:00
1	22.06.2018 12:00:00	3.49
2	22.06.2018 12:06:00	3.56
3	22.06.2018 12:12:00	3.46
4	22.06.2018 12:18:00	3.51
5	22.06.2018 12:24:00	3.44
6	22.06.2018 12:30:00	3.56
7	22.06.2018 12:36:00	2.86
8	22.06.2018 12:42:00	2.83
9	22.06.2018 12:48:00	2.88
10	22.06.2018 12:54:00	2.88
11	22.06.2018 13:00:00	2.89
12	22.06.2018 13:06:00	2.88
13	22.06.2018 13:12:00	2.88
14	22.06.2018 13:18:00	2.86
15	22.06.2018 13:24:00	2.86
16	22.06.2018 13:30:00	2.85
17	22.06.2018 13:36:00	2.86
18	22.06.2018 13:42:00	2.86
19	22.06.2018 13:48:00	2.85
20	22.06.2018 13:54:00	2.85
21	22.06.2018 14:00:00	2.86
22	22.06.2018 14:06:00	2.86
23	22.06.2018 14:12:00	2.86
24	22.06.2018 14:18:00	2.86
25	22.06.2018 14:24:00	2.86
26	22.06.2018 14:30:00	2.85
27	22.06.2018 14:36:00	2.85
28	22.06.2018 14:42:00	2.85
29	22.06.2018 14:48:00	2.85
30	22.06.2018 14:54:00	2.85
31	22.06.2018 15:00:00	2.85
32	22.06.2018 15:06:00	2.85
33	22.06.2018 15:12:00	2.85
34	22.06.2018 15:18:00	2.85
35	22.06.2018 15:24:00	2.86
36	22.06.2018 15:30:00	2.85
37	22.06.2018 15:36:00	2.86
38	22.06.2018 15:42:00	2.86
39	22.06.2018 15:48:00	2.86
40	22.06.2018 15:54:00	2.86
41	22.06.2018 16:00:00	2.86
42	22.06.2018 16:06:00	2.86
43	22.06.2018 16:12:00	2.86
44	22.06.2018 16:18:00	2.88
45	22.06.2018 16:24:00	2.88
46	22.06.2018 16:30:00	2.88
47	22.06.2018 16:36:00	2.88
48	22.06.2018 16:42:00	2.89
49	22.06.2018 16:48:00	2.89
50	22.06.2018 16:54:00	2.90
51	22.06.2018 17:00:00	2.90
52	22.06.2018 17:06:00	2.93
53	22.06.2018 17:12:00	2.90
54	22.06.2018 17:18:00	2.90
55	22.06.2018 17:24:00	2.91
56	22.06.2018 17:30:00	2.90
57	22.06.2018 17:36:00	2.86
58	22.06.2018 17:42:00	2.88
59	22.06.2018 17:48:00	2.86
60	22.06.2018 17:54:00	2.86
61	22.06.2018 18:00:00	2.86
62	22.06.2018 18:06:00	2.85
63	22.06.2018 18:12:00	2.84
64	22.06.2018 18:18:00	2.88
65	22.06.2018 18:24:00	2.84
66	22.06.2018 18:30:00	2.90
67	22.06.2018 18:36:00	2.93
68	22.06.2018 18:42:00	3.00
69	22.06.2018 18:48:00	3.04
70	22.06.2018 18:54:00	3.03
71	22.06.2018 19:00:00	2.99
72	22.06.2018 19:06:00	2.99
73	22.06.2018 19:12:00	3.03
74	22.06.2018 19:18:00	3.04
75	22.06.2018 19:24:00	3.13
76	22.06.2018 19:30:00	3.14
77	22.06.2018 19:36:00	3.08
78	22.06.2018 19:42:00	3.04
79	22.06.2018 19:48:00	3.08
80	22.06.2018 19:54:00	3.07
81	22.06.2018 20:00:00	2.94
82	22.06.2018 20:06:00	2.93
83	22.06.2018 20:12:00	2.99
84	22.06.2018 20:18:00	2.99
85	22.06.2018 20:24:00	3.09
86	22.06.2018 20:30:00	3.15
87	22.06.2018 20:36:00	3.14
88	22.06.2018 20:42:00	3.14
89	22.06.2018 20:48:00	3.17
90	22.06.2018 20:54:00	3.19
91	22.06.2018 21:00:00	3.12
92	22.06.2018 21:06:00	3.12
93	22.06.2018 21:12:00	3.10
94	22.06.2018 21:18:00	3.08
95	22.06.2018 21:24:00	3.10
96	22.06.2018 21:30:00	3.08
97	22.06.2018 21:36:00	3.10
98	22.06.2018 21:42:00	3.10
99	22.06.2018 21:48:00	3.10
100	22.06.2018 21:54:00	2.99
101	22.06.2018 22:00:00	2.93
102	22.06.2018 22:06:00	2.86
103	22.06.2018 22:12:00	2.84
104	22.06.2018 22:18:00	2.79
105	22.06.2018 22:24:00	2.74
106	22.06.2018 22:30:00	2.73
107	22.06.2018 22:36:00	2.73
108	22.06.2018 22:42:00	2.80
109	22.06.2018 22:48:00	2.96
110	22.06.2018 22:54:00	3.10
111	22.06.2018 23:00:00	2.75
112	22.06.2018 23:06:00	2.75
113	22.06.2018 23:12:00	2.76
114	22.06.2018 23:18:00	2.78
115	22.06.2018 23:24:00	2.80
116	22.06.2018 23:30:00	2.83
117	22.06.2018 23:36:00	2.74
118	22.06.2018 23:42:00	2.67
119	22.06.2018 23:48:00	2.69
120	22.06.2018 23:54:00	2.69
121	23.06.2018 00:00:00	2.67
122	23.06.2018 00:06:00	2.71
123	23.06.2018 00:12:00	2.80
124	23.06.2018 00:18:00	2.95
125	23.06.2018 00:24:00	2.89
126	23.06.2018 00:30:00	2.80
127	23.06.2018 00:36:00	2.78
128	23.06.2018 00:42:00	2.89
129	23.06.2018 00:48:00	2.91
130	23.06.2018 00:54:00	2.83
131	23.06.2018 01:00:00	2.78
132	23.06.2018 01:06:00	2.78
133	23.06.2018 01:12:00	2.78
134	23.06.2018 01:18:00	2.75
135	23.06.2018 01:24:00	2.75
136	23.06.2018 01:30:00	2.75
137	23.06.2018 01:36:00	2.84
138	23.06.2018 01:42:00	3.05
139	23.06.2018 01:48:00	3.00
140	23.06.2018 01:54:00	2.76
141	23.06.2018 02:00:00	2.76
142	23.06.2018 02:06:00	2.81
143	23.06.2018 02:12:00	2.81
144	23.06.2018 02:18:00	2.80
145	23.06.2018 02:24:00	2.83
146	23.06.2018 02:30:00	2.85
147	23.06.2018 02:36:00	2.88
148	23.06.2018 02:42:00	2.89
149	23.06.2018 02:48:00	2.93
150	23.06.2018 02:54:00	2.95
151	23.06.2018 03:00:00	2.96
152	23.06.2018 03:06:00	2.98
153	23.06.2018 03:12:00	2.99
154	23.06.2018 03:18:00	2.99
155	23.06.2018 03:24:00	2.95
156	23.06.2018 03:30:00	2.94
157	23.06.2018 03:36:00	2.94
158	23.06.2018 03:42:00	2.93
159	23.06.2018 03:48:00	2.93
160	23.06.2018 03:54:00	2.96
161	23.06.2018 04:00:00	3.00
162	23.06.2018 04:06:00	3.04
163	23.06.2018 04:12:00	3.00
164	23.06.2018 04:18:00	2.99
165	23.06.2018 04:24:00	2.99
166	23.06.2018 04:30:00	2.99
167	23.06.2018 04:36:00	2.99
168	23.06.2018 04:42:00	2.99
169	23.06.2018 04:48:00	2.99
170	23.06.2018 04:54:00	2.99
171	23.06.2018 05:00:00	3.00
172	23.06.2018 05:06:00	3.00
173	23.06.2018 05:12:00	3.00
174	23.06.2018 05:18:00	3.00
175	23.06.2018 05:24:00	3.00
176	23.06.2018 05:30:00	3.00
177	23.06.2018 05:36:00	3.00
178	23.06.2018 05:42:00	3.00
179	23.06.2018 05:48:00	3.00
180	23.06.2018 05:54:00	3.00
181	23.06.2018 06:00:00	3.00
182	23.06.2018 06:06:00	3.00
183	23.06.2018 06:12:00	3.00
184	23.06.2018 06:18:00	3.00
185	23.06.2018 06:24:00	3.00
186	23.06.2018 06:30:00	3.00
187	23.06.2018 06:36:00	3.00
188	23.06.2018 06:42:00	2.99
189	23.06.2018 06:48:00	3.02
190	23.06.2018 06:54:00	3.02
191	23.06.2018 07:00:00	3.00
192	23.06.2018 07:06:00	3.00
193	23.06.2018 07:12:00	2.99
194	23.06.2018 07:18:00	3.00
195	23.06.2018 07:24:00	3.00
196	23.06.2018 07:30:00	3.00
197	23.06.2018 07:36:00	2.99
198	23.06.2018 07:42:00	2.98
199	23.06.2018 07:48:00	2.99
200	23.06.2018 07:54:00	2.99
201	23.06.2018 08:00:00	2.99
202	23.06.2018 08:06:00	2.99
203	23.06.2018 08:12:00	2.99
204	23.06.2018 08:18:00	2.98
205	23.06.2018 08:24:00	2.99
206	23.06.2018 08:30:00	2.99
207	23.06.2018 08:36:00	2.98
208	23.06.2018 08:42:00	2.99
209	23.06.2018 08:48:00	2.98
210	23.06.2018 08:54:00	2.99
211	23.06.2018 09:00:00	2.99
212	23.06.2018 09:06:00	2.98
213	23.06.2018 09:12:00	2.98
214	23.06.2018 09:18:00	2.98
215	23.06.2018 09:24:00	2.98
216	23.06.2018 09:30:00	2.98
217	23.06.2018 09:36:00	2.98
218	23.06.2018 09:42:00	2.95
219	23.06.2018 09:48:00	2.96
220	23.06.2018 09:54:00	2.98
221	23.06.2018 10:00:00	2.96
222	23.06.2018 10:06:00	2.99
223	23.06.2018 10:12:00	3.02
224	23.06.2018 10:18:00	2.99
225	23.06.2018 10:24:00	2.99
226	23.06.2018 10:30:00	3.00
227	23.06.2018 10:36:00	2.98
228	23.06.2018 10:42:00	3.02
229	23.06.2018 10:48:00	3.03
230	23.06.2018 10:54:00	2.95
231	23.06.2018 11:00:00	2.94
232	23.06.2018 11:06:00	2.89
233	23.06.2018 11:12:00	2.85
234	23.06.2018 11:18:00	2.89
235	23.06.2018 11:24:00	2.90
236	23.06.2018 11:30:00	2.89
237	23.06.2018 11:36:00	2.91
238	23.06.2018 11:42:00	2.90
239	23.06.2018 11:48:00	2.89
240	23.06.2018 11:54:00	2.79
241	23.06.2018 12:00:00	2.84
242	23.06.2018 12:06:00	2.83
243	23.06.2018 12:12:00	2.81
244	23.06.2018 12:18:00	2.78
245	23.06.2018 12:24:00	2.78
246	23.06.2018 12:30:00	2.75
247	23.06.2018 12:36:00	2.74
248	23.06.2018 12:42:00	2.75
249	23.06.2018 12:48:00	2.76
250	23.06.2018 12:54:00	2.76
251	23.06.2018 13:00:00	2.75
252	23.06.2018 13:06:00	2.75
253	23.06.2018 13:12:00	2.75
254	23.06.2018 13:18:00	2.75
255	23.06.2018 13:24:00	2.74
256	23.06.2018 13:30:00	2.74
257	23.06.2018 13:36:00	2.74
258	23.06.2018 13:42:00	2.70
259	23.06.2018 13:48:00	2.70
260	23.06.2018 13:54:00	2.75
261	23.06.2018 14:00:00	2.76
262	23.06.2018 14:06:00	2.80
263	23.06.2018 14:12:00	2.84
264	23.06.2018 14:18:00	2.85
265	23.06.2018 14:24:00	2.86
266	23.06.2018 14:30:00	2.89
267	23.06.2018 14:36:00	2.83
268	23.06.2018 14:42:00	2.80
269	23.06.2018 14:48:00	2.79
270	23.06.2018 14:54:00	2.78
271	23.06.2018 15:00:00	2.76
272	23.06.2018 15:06:00	2.76
273	23.06.2018 15:12:00	2.78
274	23.06.2018 15:18:00	2.80
275	23.06.2018 15:24:00	2.79
276	23.06.2018 15:30:00	2.79
277	23.06.2018 15:36:00	2.80
278	23.06.2018 15:42:00	2.84
279	23.06.2018 15:48:00	2.83
280	23.06.2018 15:54:00	2.84
281	23.06.2018 16:00:00	2.84
282	23.06.2018 16:06:00	2.85
283	23.06.2018 16:12:00	2.88
284	23.06.2018 16:18:00	2.88
285	23.06.2018 16:24:00	2.85
286	23.06.2018 16:30:00	2.86
287	23.06.2018 16:36:00	2.83
288	23.06.2018 16:42:00	2.85
289	23.06.2018 16:48:00	2.85
290	23.06.2018 16:54:00	2.83
291	23.06.2018 17:00:00	2.86
292	23.06.2018 17:06:00	2.84
293	23.06.2018 17:12:00	2.84
294	23.06.2018 17:18:00	2.84
295	23.06.2018 17:24:00	2.83
296	23.06.2018 17:30:00	2.84
297	23.06.2018 17:36:00	2.84
298	23.06.2018 17:42:00	2.84
299	23.06.2018 17:48:00	2.84
300	23.06.2018 17:54:00	2.83
301	23.06.2018 18:00:00	2.81
302	23.06.2018 18:06:00	2.83
303	23.06.2018 18:12:00	2.86
304	23.06.2018 18:18:00	2.86
305	23.06.2018 18:24:00	2.86
306	23.06.2018 18:30:00	2.86
307	23.06.2018 18:36:00	2.86
308	23.06.2018 18:42:00	2.86
309	23.06.2018 18:48:00	2.86
310	23.06.2018 18:54:00	2.86
311	23.06.2018 19:00:00	2.88
312	23.06.2018 19:06:00	2.85
313	23.06.2018 19:12:00	2.85
314	23.06.2018 19:18:00	2.85
315	23.06.2018 19:24:00	2.88
316	23.06.2018 19:30:00	2.88
317	23.06.2018 19:36:00	2.88
318	23.06.2018 19:42:00	2.88
319	23.06.2018 19:48:00	2.89
320	23.06.2018 19:54:00	2.85
321	23.06.2018 20:00:00	2.81
322	23.06.2018 20:06:00	2.75
323	23.06.2018 20:12:00	2.76
324	23.06.2018 20:18:00	2.80
325	23.06.2018 20:24:00	2.89
326	23.06.2018 20:30:00	2.89
327	23.06.2018 20:36:00	2.90
328	23.06.2018 20:42:00	2.91
329	23.06.2018 20:48:00	2.91
330	23.06.2018 20:54:00	2.91
331	23.06.2018 21:00:00	2.91
332	23.06.2018 21:06:00	2.96
333	23.06.2018 21:12:00	2.96
334	23.06.2018 21:18:00	2.96
335	23.06.2018 21:24:00	2.98
336	23.06.2018 21:30:00	2.99
337	23.06.2018 21:36:00	2.98
338	23.06.2018 21:42:00	2.98
339	23.06.2018 21:48:00	2.89
340	23.06.2018 21:54:00	2.70
341	23.06.2018 22:00:00	2.75
342	23.06.2018 22:06:00	2.83
343	23.06.2018 22:12:00	2.80
344	23.06.2018 22:18:00	2.74
345	23.06.2018 22:24:00	2.67
346	23.06.2018 22:30:00	2.67
347	23.06.2018 22:36:00	2.69
348	23.06.2018 22:42:00	2.74
349	23.06.2018 22:48:00	2.79
350	23.06.2018 22:54:00	2.71
351	23.06.2018 23:00:00	2.70
352	23.06.2018 23:06:00	2.71
353	23.06.2018 23:12:00	2.71
354	23.06.2018 23:18:00	2.74
355	23.06.2018 23:24:00	2.79
356	23.06.2018 23:30:00	2.81
357	23.06.2018 23:36:00	2.76
358	23.06.2018 23:42:00	2.76
359	23.06.2018 23:48:00	2.78
360	23.06.2018 23:54:00	2.78
361	24.06.2018 00:00:00	2.79
362	24.06.2018 00:06:00	2.85
363	24.06.2018 00:12:00	2.98
364	24.06.2018 00:18:00	2.94
365	24.06.2018 00:24:00	2.86
366	24.06.2018 00:30:00	2.84
367	24.06.2018 00:36:00	2.84
368	24.06.2018 00:42:00	2.89
369	24.06.2018 00:48:00	2.91
370	24.06.2018 00:54:00	2.91
371	24.06.2018 01:00:00	2.95
372	24.06.2018 01:06:00	2.94
373	24.06.2018 01:12:00	2.94
374	24.06.2018 01:18:00	2.94
375	24.06.2018 01:24:00	2.96
376	24.06.2018 01:30:00	2.95
377	24.06.2018 01:36:00	2.98
378	24.06.2018 01:42:00	3.00
379	24.06.2018 01:48:00	2.99
380	24.06.2018 01:54:00	2.98
381	24.06.2018 02:00:00	2.96
382	24.06.2018 02:06:00	2.96
383	24.06.2018 02:12:00	2.96
384	24.06.2018 02:18:00	2.99
385	24.06.2018 02:24:00	3.05
386	24.06.2018 02:30:00	3.07
387	24.06.2018 02:36:00	3.08
388	24.06.2018 02:42:00	3.07
389	24.06.2018 02:48:00	3.08
390	24.06.2018 02:54:00	3.08
391	24.06.2018 03:00:00	3.08
392	24.06.2018 03:06:00	3.09
393	24.06.2018 03:12:00	3.08
394	24.06.2018 03:18:00	3.09
395	24.06.2018 03:24:00	3.09
396	24.06.2018 03:30:00	3.10
397	24.06.2018 03:36:00	3.10
398	24.06.2018 03:42:00	3.10
399	24.06.2018 03:48:00	3.13
400	24.06.2018 03:54:00	3.13
401	24.06.2018 04:00:00	3.10
402	24.06.2018 04:06:00	3.14
403	24.06.2018 04:12:00	3.14
404	24.06.2018 04:18:00	3.15
405	24.06.2018 04:24:00	3.12
406	24.06.2018 04:30:00	3.12
407	24.06.2018 04:36:00	3.10
408	24.06.2018 04:42:00	3.10
409	24.06.2018 04:48:00	3.12
410	24.06.2018 04:54:00	3.13
411	24.06.2018 05:00:00	3.14
412	24.06.2018 05:06:00	3.12
413	24.06.2018 05:12:00	3.13
414	24.06.2018 05:18:00	3.14
415	24.06.2018 05:24:00	3.13
416	24.06.2018 05:30:00	3.15
417	24.06.2018 05:36:00	3.14
418	24.06.2018 05:42:00	3.15
419	24.06.2018 05:48:00	3.15
420	24.06.2018 05:54:00	3.10
421	24.06.2018 06:00:00	3.08
422	24.06.2018 06:06:00	3.08
423	24.06.2018 06:12:00	3.08
424	24.06.2018 06:18:00	3.09
425	24.06.2018 06:24:00	3.17
426	24.06.2018 06:30:00	3.17
427	24.06.2018 06:36:00	3.14
428	24.06.2018 06:42:00	3.15
429	24.06.2018 06:48:00	3.15
430	24.06.2018 06:54:00	3.14
431	24.06.2018 07:00:00	3.15
432	24.06.2018 07:06:00	3.09
433	24.06.2018 07:12:00	3.09
434	24.06.2018 07:18:00	3.10
435	24.06.2018 07:24:00	3.09
436	24.06.2018 07:30:00	3.10
437	24.06.2018 07:36:00	3.15
438	24.06.2018 07:42:00	3.14
439	24.06.2018 07:48:00	3.13
440	24.06.2018 07:54:00	3.09
441	24.06.2018 08:00:00	3.08
442	24.06.2018 08:06:00	3.09
443	24.06.2018 08:12:00	3.09
444	24.06.2018 08:18:00	3.12
445	24.06.2018 08:24:00	3.14
446	24.06.2018 08:30:00	3.15
447	24.06.2018 08:36:00	3.10
448	24.06.2018 08:42:00	3.12
449	24.06.2018 08:48:00	3.10
450	24.06.2018 08:54:00	3.12
451	24.06.2018 09:00:00	3.13
452	24.06.2018 09:06:00	3.12
453	24.06.2018 09:12:00	3.08
454	24.06.2018 09:18:00	3.04
455	24.06.2018 09:24:00	3.04
456	24.06.2018 09:30:00	3.03
457	24.06.2018 09:36:00	2.99
458	24.06.2018 09:42:00	3.03
459	24.06.2018 09:48:00	3.05
460	24.06.2018 09:54:00	3.03
461	24.06.2018 10:00:00	3.05
462	24.06.2018 10:06:00	3.04
463	24.06.2018 10:12:00	3.08
464	24.06.2018 10:18:00	3.12
465	24.06.2018 10:24:00	3.03
466	24.06.2018 10:30:00	3.02
467	24.06.2018 10:36:00	2.98
468	24.06.2018 10:42:00	2.99
469	24.06.2018 10:48:00	3.08
470	24.06.2018 10:54:00	3.02
471	24.06.2018 11:00:00	3.00
472	24.06.2018 11:06:00	3.02
473	24.06.2018 11:12:00	2.99
474	24.06.2018 11:18:00	3.00
475	24.06.2018 11:24:00	3.00
476	24.06.2018 11:30:00	3.00
477	24.06.2018 11:36:00	2.99
478	24.06.2018 11:42:00	3.00
479	24.06.2018 11:48:00	2.91
480	24.06.2018 11:54:00	2.71
481	24.06.2018 12:00:00	2.76
482	24.06.2018 12:06:00	2.80
483	24.06.2018 12:12:00	2.81
484	24.06.2018 12:18:00	2.84
485	24.06.2018 12:24:00	2.83
486	24.06.2018 12:30:00	2.84
487	24.06.2018 12:36:00	2.84
488	24.06.2018 12:42:00	2.83
489	24.06.2018 12:48:00	2.81
490	24.06.2018 12:54:00	2.80
491	24.06.2018 13:00:00	2.81
492	24.06.2018 13:06:00	2.93
493	24.06.2018 13:12:00	2.93
494	24.06.2018 13:18:00	2.94
495	24.06.2018 13:24:00	2.90
496	24.06.2018 13:30:00	2.80
497	24.06.2018 13:36:00	2.79
498	24.06.2018 13:42:00	2.79
499	24.06.2018 13:48:00	2.79
500	24.06.2018 13:54:00	2.80
501	24.06.2018 14:00:00	2.79
502	24.06.2018 14:06:00	2.78
503	24.06.2018 14:12:00	2.75
504	24.06.2018 14:18:00	2.78
505	24.06.2018 14:24:00	2.84
506	24.06.2018 14:30:00	2.88
507	24.06.2018 14:36:00	2.80
508	24.06.2018 14:42:00	2.75
509	24.06.2018 14:48:00	2.75
510	24.06.2018 14:54:00	2.75
511	24.06.2018 15:00:00	2.78
512	24.06.2018 15:06:00	2.80
513	24.06.2018 15:12:00	2.86
514	24.06.2018 15:18:00	2.88
515	24.06.2018 15:24:00	2.90
516	24.06.2018 15:30:00	2.90
517	24.06.2018 15:36:00	2.93
518	24.06.2018 15:42:00	2.91
519	24.06.2018 15:48:00	2.90
520	24.06.2018 15:54:00	2.85
521	24.06.2018 16:00:00	2.93
522	24.06.2018 16:06:00	2.93
523	24.06.2018 16:12:00	2.84
524	24.06.2018 16:18:00	2.88
525	24.06.2018 16:24:00	2.91
526	24.06.2018 16:30:00	2.90
527	24.06.2018 16:36:00	2.91
528	24.06.2018 16:42:00	2.96
529	24.06.2018 16:48:00	2.98
530	24.06.2018 16:54:00	2.98
531	24.06.2018 17:00:00	3.03
532	24.06.2018 17:06:00	3.00
533	24.06.2018 17:12:00	3.04
534	24.06.2018 17:18:00	2.96
535	24.06.2018 17:24:00	2.89
536	24.06.2018 17:30:00	2.91
537	24.06.2018 17:36:00	2.91
538	24.06.2018 17:42:00	2.96
539	24.06.2018 17:48:00	3.02
540	24.06.2018 17:54:00	3.02
541	24.06.2018 18:00:00	3.03
542	24.06.2018 18:06:00	2.98
543	24.06.2018 18:12:00	3.03
544	24.06.2018 18:18:00	3.13
545	24.06.2018 18:24:00	3.13
546	24.06.2018 18:30:00	3.13
547	24.06.2018 18:36:00	3.18
548	24.06.2018 18:42:00	3.19
549	24.06.2018 18:48:00	3.13
550	24.06.2018 18:54:00	3.17
551	24.06.2018 19:00:00	3.22
552	24.06.2018 19:06:00	3.27
553	24.06.2018 19:12:00	3.27
554	24.06.2018 19:18:00	3.27
555	24.06.2018 19:24:00	3.28
556	24.06.2018 19:30:00	3.27
557	24.06.2018 19:36:00	3.27
558	24.06.2018 19:42:00	3.27
559	24.06.2018 19:48:00	3.27
560	24.06.2018 19:54:00	3.25
561	24.06.2018 20:00:00	3.24
562	24.06.2018 20:06:00	3.25
563	24.06.2018 20:12:00	3.24
