#B	Created:	20.11.2019 09:04:22
##	Version	SeaStar	7.76
#5	Field separation:	0
#2	Date & Time:	1
#6	Decimal point:	.
#7	Date def.:	dd.mm.yyyy	.
#8	Time def.:	:
##	Axis	0	Temperature(°C)	clRed	FALSE
##	Series	0	Temp(°C)	clRed	0	Temp(°C)	2
##	Recorder	3	Starmon mini	4256
##	Chart	3T4256DAT	
#D	Data:	125244	16.06.2018 12:00:00	20.11.2019 08:18:00
1	16.06.2018 12:00:00	1.64
2	16.06.2018 12:06:00	1.67
3	16.06.2018 12:12:00	1.67
4	16.06.2018 12:18:00	1.65
5	16.06.2018 12:24:00	1.63
6	16.06.2018 12:30:00	1.63
7	16.06.2018 12:36:00	1.64
8	16.06.2018 12:42:00	1.65
9	16.06.2018 12:48:00	1.65
10	16.06.2018 12:54:00	1.68
11	16.06.2018 13:00:00	1.69
12	16.06.2018 13:06:00	1.69
13	16.06.2018 13:12:00	1.67
14	16.06.2018 13:18:00	1.65
15	16.06.2018 13:24:00	1.65
16	16.06.2018 13:30:00	1.68
17	16.06.2018 13:36:00	1.72
18	16.06.2018 13:42:00	1.70
19	16.06.2018 13:48:00	1.68
20	16.06.2018 13:54:00	1.67
21	16.06.2018 14:00:00	1.65
22	16.06.2018 14:06:00	1.64
23	16.06.2018 14:12:00	1.63
24	16.06.2018 14:18:00	1.60
25	16.06.2018 14:24:00	1.59
26	16.06.2018 14:30:00	1.57
27	16.06.2018 14:36:00	1.54
28	16.06.2018 14:42:00	1.49
29	16.06.2018 14:48:00	1.45
30	16.06.2018 14:54:00	1.40
31	16.06.2018 15:00:00	1.36
32	16.06.2018 15:06:00	1.34
33	16.06.2018 15:12:00	1.31
34	16.06.2018 15:18:00	1.28
35	16.06.2018 15:24:00	1.25
36	16.06.2018 15:30:00	1.23
37	16.06.2018 15:36:00	1.20
38	16.06.2018 15:42:00	1.19
39	16.06.2018 15:48:00	1.16
40	16.06.2018 15:54:00	1.12
41	16.06.2018 16:00:00	1.10
