#B	Created:	20.11.2019 09:42:27
##	Version	SeaStar	7.76
#5	Field separation:	0
#2	Date & Time:	1
#6	Decimal point:	.
#7	Date def.:	dd.mm.yyyy	.
#8	Time def.:	:
##	Axis	0	Temperature(°C)	clRed	FALSE
##	Series	0	Temp(°C)	clRed	0	Temp(°C)	2
##	Recorder	3	Starmon mini	4285
##	Chart	3T4285DAT	
#D	Data:	125225	16.06.2018 12:00:00	20.11.2019 06:24:00
1	16.06.2018 12:00:00	1.60
2	16.06.2018 12:06:00	1.61
3	16.06.2018 12:12:00	1.62
4	16.06.2018 12:18:00	1.61
5	16.06.2018 12:24:00	1.61
6	16.06.2018 12:30:00	1.60
7	16.06.2018 12:36:00	1.61
8	16.06.2018 12:42:00	1.61
9	16.06.2018 12:48:00	1.61
10	16.06.2018 12:54:00	1.62
11	16.06.2018 13:00:00	1.64
12	16.06.2018 13:06:00	1.64
13	16.06.2018 13:12:00	1.62
14	16.06.2018 13:18:00	1.61
15	16.06.2018 13:24:00	1.61
16	16.06.2018 13:30:00	1.62
17	16.06.2018 13:36:00	1.65
18	16.06.2018 13:42:00	1.65
19	16.06.2018 13:48:00	1.64
20	16.06.2018 13:54:00	1.62
21	16.06.2018 14:00:00	1.61
22	16.06.2018 14:06:00	1.61
23	16.06.2018 14:12:00	1.60
24	16.06.2018 14:18:00	1.59
25	16.06.2018 14:24:00	1.57
26	16.06.2018 14:30:00	1.56
27	16.06.2018 14:36:00	1.53
28	16.06.2018 14:42:00	1.51
29	16.06.2018 14:48:00	1.47
30	16.06.2018 14:54:00	1.45
31	16.06.2018 15:00:00	1.41
32	16.06.2018 15:06:00	1.38
33	16.06.2018 15:12:00	1.36
34	16.06.2018 15:18:00	1.32
35	16.06.2018 15:24:00	1.31
36	16.06.2018 15:30:00	1.27
37	16.06.2018 15:36:00	1.25
38	16.06.2018 15:42:00	1.23
39	16.06.2018 15:48:00	1.20
40	16.06.2018 15:54:00	1.18
41	16.06.2018 16:00:00	1.15
42	16.06.2018 16:06:00	1.13
43	16.06.2018 16:12:00	1.09
44	16.06.2018 16:18:00	1.06
45	16.06.2018 16:24:00	1.04
46	16.06.2018 16:30:00	1.00
47	16.06.2018 16:36:00	0.96
48	16.06.2018 16:42:00	0.92
49	16.06.2018 16:48:00	0.90
50	16.06.2018 16:54:00	0.86
51	16.06.2018 17:00:00	0.83
52	16.06.2018 17:06:00	0.81
53	16.06.2018 17:12:00	0.78
54	16.06.2018 17:18:00	0.77
55	16.06.2018 17:24:00	0.74
56	16.06.2018 17:30:00	0.72
57	16.06.2018 17:36:00	0.69
58	16.06.2018 17:42:00	0.67
59	16.06.2018 17:48:00	0.64
60	16.06.2018 17:54:00	0.62
61	16.06.2018 18:00:00	0.60
62	16.06.2018 18:06:00	0.58
63	16.06.2018 18:12:00	0.56
64	16.06.2018 18:18:00	0.54
65	16.06.2018 18:24:00	0.53
66	16.06.2018 18:30:00	0.50
67	16.06.2018 18:36:00	0.49
68	16.06.2018 18:42:00	0.47
69	16.06.2018 18:48:00	0.45
70	16.06.2018 18:54:00	0.42
71	16.06.2018 19:00:00	0.41
72	16.06.2018 19:06:00	0.38
73	16.06.2018 19:12:00	0.38
74	16.06.2018 19:18:00	0.36
75	16.06.2018 19:24:00	0.35
76	16.06.2018 19:30:00	0.35
77	16.06.2018 19:36:00	0.33
78	16.06.2018 19:42:00	0.32
79	16.06.2018 19:48:00	0.32
80	16.06.2018 19:54:00	0.31
81	16.06.2018 20:00:00	0.29
82	16.06.2018 20:06:00	0.29
83	16.06.2018 20:12:00	0.28
84	16.06.2018 20:18:00	0.27
85	16.06.2018 20:24:00	0.26
86	16.06.2018 20:30:00	0.23
87	16.06.2018 20:36:00	0.22
88	16.06.2018 20:42:00	0.20
89	16.06.2018 20:48:00	0.19
90	16.06.2018 20:54:00	0.17
91	16.06.2018 21:00:00	0.17
92	16.06.2018 21:06:00	0.15
93	16.06.2018 21:12:00	0.14
94	16.06.2018 21:18:00	0.14
95	16.06.2018 21:24:00	0.14
96	16.06.2018 21:30:00	0.13
97	16.06.2018 21:36:00	0.13
98	16.06.2018 21:42:00	0.13
99	16.06.2018 21:48:00	0.13
100	16.06.2018 21:54:00	0.11
101	16.06.2018 22:00:00	0.13
102	16.06.2018 22:06:00	0.13
103	16.06.2018 22:12:00	0.13
104	16.06.2018 22:18:00	0.13
105	16.06.2018 22:24:00	0.13
106	16.06.2018 22:30:00	0.13
107	16.06.2018 22:36:00	0.13
108	16.06.2018 22:42:00	0.13
109	16.06.2018 22:48:00	0.13
110	16.06.2018 22:54:00	0.13
111	16.06.2018 23:00:00	0.13
112	16.06.2018 23:06:00	0.14
113	16.06.2018 23:12:00	0.14
114	16.06.2018 23:18:00	0.15
115	16.06.2018 23:24:00	0.17
116	16.06.2018 23:30:00	0.18
117	16.06.2018 23:36:00	0.19
118	16.06.2018 23:42:00	0.20
119	16.06.2018 23:48:00	0.22
120	16.06.2018 23:54:00	0.23
121	17.06.2018 00:00:00	0.24
122	17.06.2018 00:06:00	0.26
123	17.06.2018 00:12:00	0.27
124	17.06.2018 00:18:00	0.28
125	17.06.2018 00:24:00	0.29
126	17.06.2018 00:30:00	0.32
127	17.06.2018 00:36:00	0.33
128	17.06.2018 00:42:00	0.35
129	17.06.2018 00:48:00	0.36
130	17.06.2018 00:54:00	0.38
131	17.06.2018 01:00:00	0.38
132	17.06.2018 01:06:00	0.40
133	17.06.2018 01:12:00	0.42
134	17.06.2018 01:18:00	0.45
135	17.06.2018 01:24:00	0.49
136	17.06.2018 01:30:00	0.51
137	17.06.2018 01:36:00	0.55
138	17.06.2018 01:42:00	0.58
139	17.06.2018 01:48:00	0.60
140	17.06.2018 01:54:00	0.63
141	17.06.2018 02:00:00	0.65
142	17.06.2018 02:06:00	0.68
143	17.06.2018 02:12:00	0.71
144	17.06.2018 02:18:00	0.72
145	17.06.2018 02:24:00	0.72
146	17.06.2018 02:30:00	0.72
147	17.06.2018 02:36:00	0.74
148	17.06.2018 02:42:00	0.77
149	17.06.2018 02:48:00	0.78
150	17.06.2018 02:54:00	0.82
151	17.06.2018 03:00:00	0.82
152	17.06.2018 03:06:00	0.85
153	17.06.2018 03:12:00	0.81
154	17.06.2018 03:18:00	0.79
155	17.06.2018 03:24:00	0.78
156	17.06.2018 03:30:00	0.77
157	17.06.2018 03:36:00	0.73
158	17.06.2018 03:42:00	0.74
159	17.06.2018 03:48:00	0.77
160	17.06.2018 03:54:00	0.79
161	17.06.2018 04:00:00	0.76
162	17.06.2018 04:06:00	0.87
163	17.06.2018 04:12:00	1.01
164	17.06.2018 04:18:00	1.10
165	17.06.2018 04:24:00	0.88
166	17.06.2018 04:30:00	0.96
167	17.06.2018 04:36:00	1.05
168	17.06.2018 04:42:00	1.10
169	17.06.2018 04:48:00	1.14
170	17.06.2018 04:54:00	1.17
171	17.06.2018 05:00:00	1.20
172	17.06.2018 05:06:00	1.24
173	17.06.2018 05:12:00	1.25
174	17.06.2018 05:18:00	1.28
175	17.06.2018 05:24:00	1.29
176	17.06.2018 05:30:00	1.33
177	17.06.2018 05:36:00	1.38
178	17.06.2018 05:42:00	1.42
179	17.06.2018 05:48:00	1.39
180	17.06.2018 05:54:00	1.41
181	17.06.2018 06:00:00	1.37
182	17.06.2018 06:06:00	1.34
183	17.06.2018 06:12:00	1.37
184	17.06.2018 06:18:00	1.41
185	17.06.2018 06:24:00	1.47
186	17.06.2018 06:30:00	1.55
187	17.06.2018 06:36:00	1.52
188	17.06.2018 06:42:00	1.50
189	17.06.2018 06:48:00	1.47
190	17.06.2018 06:54:00	1.51
191	17.06.2018 07:00:00	1.59
192	17.06.2018 07:06:00	1.62
193	17.06.2018 07:12:00	1.64
194	17.06.2018 07:18:00	1.66
195	17.06.2018 07:24:00	1.60
196	17.06.2018 07:30:00	1.61
197	17.06.2018 07:36:00	1.65
198	17.06.2018 07:42:00	1.67
199	17.06.2018 07:48:00	1.71
200	17.06.2018 07:54:00	1.74
201	17.06.2018 08:00:00	1.66
202	17.06.2018 08:06:00	1.64
203	17.06.2018 08:12:00	1.59
204	17.06.2018 08:18:00	1.59
205	17.06.2018 08:24:00	1.64
206	17.06.2018 08:30:00	1.56
207	17.06.2018 08:36:00	1.56
208	17.06.2018 08:42:00	1.53
209	17.06.2018 08:48:00	1.51
210	17.06.2018 08:54:00	1.45
211	17.06.2018 09:00:00	1.42
212	17.06.2018 09:06:00	1.37
213	17.06.2018 09:12:00	1.33
214	17.06.2018 09:18:00	1.32
215	17.06.2018 09:24:00	1.32
216	17.06.2018 09:30:00	1.34
217	17.06.2018 09:36:00	1.34
218	17.06.2018 09:42:00	1.39
219	17.06.2018 09:48:00	1.45
220	17.06.2018 09:54:00	1.46
221	17.06.2018 10:00:00	1.48
222	17.06.2018 10:06:00	1.48
223	17.06.2018 10:12:00	1.46
224	17.06.2018 10:18:00	1.20
225	17.06.2018 10:24:00	1.28
226	17.06.2018 10:30:00	1.32
227	17.06.2018 10:36:00	1.32
228	17.06.2018 10:42:00	1.32
229	17.06.2018 10:48:00	1.33
230	17.06.2018 10:54:00	1.37
231	17.06.2018 11:00:00	1.38
232	17.06.2018 11:06:00	1.39
233	17.06.2018 11:12:00	1.43
234	17.06.2018 11:18:00	1.47
235	17.06.2018 11:24:00	1.47
